,NOME_PRODUTO,NM_CLIENTE,forecast_1,forecast_2,forecast_3
100,"Mountain-200 Silver, 46","Fabrikam Inc., West",4.6,4.4,4.1
101,"Mountain-200 Silver, 46",Bicycle Lines Distributors,3.3,3.0,2.8
102,"Mountain-200 Silver, 46",World of Bikes,2.5,2.8,3.0
103,"Mountain-200 Silver, 46",Permanent Finish Products,6.2,5.5,5.1
104,"Mountain-200 Silver, 46",Casual Bicycle Store,1.7,2.2,2.5
105,"Mountain-200 Silver, 46",Fashionable Department Stores,2.1,2.2,2.2
106,"Mountain-200 Silver, 46",Extraordinary Bike Works,2.6,3.1,3.4
107,"Mountain-200 Silver, 46",Genial Bike Associates,2.2,2.4,2.5
108,"Mountain-200 Silver, 46",Paint Supply,1.2,1.4,1.5
109,"Mountain-200 Silver, 46",Satin Finish Company,1.4,1.6,1.7
110,"Mountain-200 Silver, 46",The Gear Store,3.9,3.9,3.9
111,"Mountain-200 Silver, 46",Commerce Bicycle Specialists,1.6,2.1,2.4
112,"Mountain-200 Silver, 46",Metropolitan Bicycle Supply,4.4,4.6,4.8
113,"Mountain-200 Silver, 46",Nearby Cycle Shop,1.9,2.5,2.9
114,"Mountain-200 Silver, 46",Brakes and Gears,8.8,8.7,8.6
115,"Mountain-200 Silver, 46",Closeout Boutique,5.8,5.7,5.6
116,"Mountain-200 Silver, 46",Latest Sports Equipment,3.7,4.4,4.7
117,"Mountain-200 Silver, 46",Safe Cycles Shop,3.4,3.6,3.7
118,"Mountain-200 Silver, 46",Great Bikes ,6.7,6.6,6.5
119,"LL Road Frame - Black, 44","Health Spa, Limited",2.1,2.1,2.1
120,"LL Road Frame - Black, 44",Exhilarating Cycles,1.8,1.7,1.7
121,"ML Road Frame-W - Yellow, 38",Eastside Department Store,1.6,2.0,2.2
122,"ML Road Frame-W - Yellow, 38",Number 1 Supply,2.1,2.2,2.3
123,"ML Road Frame-W - Yellow, 38",Bikes and Motorbikes,4.9,4.8,4.8
124,"ML Road Frame-W - Yellow, 38",Citywide Service and Repair,2.2,2.4,2.5
125,"ML Road Frame-W - Yellow, 38",Corner Bicycle Supply,1.3,1.6,1.8
126,"ML Road Frame-W - Yellow, 38",General Supplies,2.8,2.6,2.5
127,"ML Road Frame-W - Yellow, 38","Health Spa, Limited",3.8,3.4,3.3
128,"ML Road Frame-W - Yellow, 38",Retail Mall,2.7,3.1,3.4
129,"ML Road Frame-W - Yellow, 38",Rewarding Activities Company,1.1,1.2,1.3
130,"ML Road Frame-W - Yellow, 38",Lease-a-Bike Shop,2.6,2.4,2.2
131,"ML Road Frame-W - Yellow, 38",Rally Day Mall,2.7,2.4,2.3
132,"ML Road Frame-W - Yellow, 38",Getaway Inn,1.9,1.8,1.8
133,"ML Road Frame-W - Yellow, 38",Metropolitan Equipment,3.9,3.8,3.8
134,"ML Road Frame-W - Yellow, 38",Racing Sales and Service,3.6,3.3,3.1
135,"ML Road Frame-W - Yellow, 38",Exhilarating Cycles,1.9,1.9,1.9
136,"ML Road Frame-W - Yellow, 38",Friendly Bike Shop,2.2,2.3,2.4
137,"ML Road Frame-W - Yellow, 38",Outdoor Equipment Store,2.6,2.9,3.2
138,"ML Road Frame-W - Yellow, 38",Larger Cycle Shop,1.9,1.8,1.7
139,"ML Road Frame-W - Yellow, 38",Excellent Riding Supplies,2.4,2.7,3.0
140,"ML Road Frame-W - Yellow, 38",Fitness Toy Store,2.1,2.3,2.4
141,"ML Road Frame-W - Yellow, 38",Sheet Metal Manufacturing,2.1,2.2,2.3
142,"ML Road Frame-W - Yellow, 38",Prosperous Tours,2.6,2.4,2.3
143,"ML Road Frame-W - Yellow, 38",Mail-Order Outlet,1.3,1.5,1.7
144,"ML Road Frame-W - Yellow, 44",Eastside Department Store,2.5,2.3,2.2
145,"ML Road Frame-W - Yellow, 44",Number 1 Supply,1.3,1.6,1.8
146,"ML Road Frame-W - Yellow, 44",Quantity Discounts,1.9,1.9,1.8
147,"ML Road Frame-W - Yellow, 44",Bikes and Motorbikes,2.2,3.1,3.6
148,"ML Road Frame-W - Yellow, 44",Corner Bicycle Supply,3.6,4.0,4.2
149,"ML Road Frame-W - Yellow, 44",Custom Accessories Company,3.1,3.1,3.1
150,"ML Road Frame-W - Yellow, 44",General Supplies,2.7,2.6,2.5
151,"ML Road Frame-W - Yellow, 44","Health Spa, Limited",5.5,5.3,5.1
152,"ML Road Frame-W - Yellow, 44",Primary Bike Distributors,2.9,2.9,2.9
153,"ML Road Frame-W - Yellow, 44",Retail Mall,4.4,5.3,5.8
154,"ML Road Frame-W - Yellow, 44",Lease-a-Bike Shop,1.3,1.6,1.9
155,"ML Road Frame-W - Yellow, 44",Rally Day Mall,1.2,1.4,1.6
156,"ML Road Frame-W - Yellow, 44",Getaway Inn,2.2,2.3,2.4
157,"ML Road Frame-W - Yellow, 44",Metropolitan Equipment,3.8,4.3,4.6
158,"ML Road Frame-W - Yellow, 44",Racing Sales and Service,5.6,5.2,4.9
159,"ML Road Frame-W - Yellow, 44",Steel Inc.,1.2,1.4,1.6
160,"ML Road Frame-W - Yellow, 44",Friendly Bike Shop,4.8,5.2,5.4
161,"ML Road Frame-W - Yellow, 44",Outdoor Equipment Store,3.9,3.4,3.2
162,"ML Road Frame-W - Yellow, 44",Bike Dealers Association,1.8,2.2,2.4
163,"ML Road Frame-W - Yellow, 44",Larger Cycle Shop,3.0,3.0,3.0
164,"ML Road Frame-W - Yellow, 44",New and Used Bicycles,2.7,2.5,2.4
165,"ML Road Frame-W - Yellow, 44",Bike Boutique,1.9,1.8,1.8
166,"ML Road Frame-W - Yellow, 44",Excellent Riding Supplies,4.6,4.3,4.2
167,"ML Road Frame-W - Yellow, 44",Advanced Bike Components,1.3,1.5,1.7
168,"ML Road Frame-W - Yellow, 44",Fitness Toy Store,4.4,4.6,4.8
169,"ML Road Frame-W - Yellow, 44",Modular Cycle Systems,4.1,5.0,5.2
170,"ML Road Frame-W - Yellow, 44",Sheet Metal Manufacturing,3.8,3.7,3.6
171,"ML Road Frame-W - Yellow, 44",Totes & Baskets Company,4.3,4.5,4.7
172,"ML Road Frame-W - Yellow, 44",Bulk Discount Store,2.2,2.4,2.4
173,"ML Road Frame-W - Yellow, 44",Uttermost Bike Shop,3.1,3.2,3.2
174,"ML Road Frame-W - Yellow, 44",Sales and Supply Company,6.0,5.9,5.9
175,"Road-650 Black, 58",Affordable Sports Equipment,1.5,1.7,1.8
176,"Road-650 Black, 58",Farthermost Bike Shop,6.5,6.1,5.8
177,"Road-650 Black, 58",Preferred Bikes,2.9,3.4,3.6
178,"Road-650 Black, 58",Separate Parts Corporation,1.2,1.3,1.4
179,"Road-650 Black, 58",Corner Bicycle Supply,3.8,3.7,3.6
180,"Road-650 Black, 58","Health Spa, Limited",8.2,7.1,6.5
181,"Road-650 Black, 58",Metal Processing Company,2.8,2.7,2.5
182,"Road-650 Black, 58",National Manufacturing,2.5,2.8,3.0
183,"Road-650 Black, 58",Retail Mall,4.3,5.1,5.6
184,"Road-650 Black, 58",Rewarding Activities Company,3.0,3.6,4.0
185,"Road-650 Black, 58",Tenth Bike Store,3.4,2.9,2.6
186,"Road-650 Black, 58",Fun Times Club,2.4,2.6,2.7
187,"Road-650 Black, 58",Lease-a-Bike Shop,7.6,7.3,7.0
188,"Road-650 Black, 58",Sunny Place Bikes,3.1,3.1,3.2
189,"Road-650 Black, 58",Wholesale Bikes,1.2,1.4,1.5
190,"Road-650 Black, 58",Friendly Bike Shop,9.7,9.4,9.1
191,"Road-650 Black, 58",Small Cycle Store,1.8,1.6,1.6
192,"Road-650 Black, 58",Riders Company,1.8,2.3,2.6
193,"Road-650 Black, 58",First Bike Store,2.9,2.8,2.8
194,"Road-650 Black, 58",Remarkable Bike Store,5.1,4.4,4.0
195,"Road-650 Black, 58",Retail Sales and Service,2.7,2.5,2.4
196,"Road-650 Black, 58",Bike Dealers Association,4.0,4.0,4.0
197,"Road-650 Black, 58",Larger Cycle Shop,2.5,3.5,4.1
198,"Road-650 Black, 58",New and Used Bicycles,4.8,4.6,4.4
199,"Road-650 Black, 58",Excellent Riding Supplies,3.8,3.7,3.6
200,"Road-650 Black, 58",Advanced Bike Components,7.9,5.9,4.8
201,"Road-650 Black, 58",Fitness Toy Store,8.9,8.2,7.8
202,"Road-650 Black, 58",Totes & Baskets Company,3.7,3.5,3.4
203,"Road-650 Black, 58",Sure & Reliable Sporting Goods,3.4,3.1,2.9
204,"Road-650 Black, 58",Thorough Parts and Repair Services,3.2,2.8,2.5
205,"Road-650 Black, 58",Good Bike Shop,3.2,2.7,2.4
206,"LL Road Frame - Black, 52",Eastside Department Store,4.2,4.4,4.5
207,"LL Road Frame - Black, 52",Farthermost Bike Shop,2.2,2.4,2.5
208,"LL Road Frame - Black, 52",Number 1 Supply,2.7,2.5,2.4
209,"LL Road Frame - Black, 52",Preferred Bikes,2.4,2.6,2.6
210,"LL Road Frame - Black, 52",Quantity Discounts,1.1,1.1,1.2
211,"LL Road Frame - Black, 52",Separate Parts Corporation,2.2,1.8,1.6
212,"LL Road Frame - Black, 52",Bikes and Motorbikes,5.9,5.9,5.9
213,"LL Road Frame - Black, 52",Citywide Service and Repair,2.0,1.9,1.9
214,"LL Road Frame - Black, 52",Corner Bicycle Supply,3.8,3.7,3.5
215,"LL Road Frame - Black, 52",Custom Accessories Company,2.7,2.6,2.4
216,"LL Road Frame - Black, 52","Health Spa, Limited",3.2,3.4,3.5
217,"LL Road Frame - Black, 52",National Manufacturing,1.1,1.1,1.1
218,"LL Road Frame - Black, 52",Primary Bike Distributors,2.0,2.0,1.9
219,"LL Road Frame - Black, 52",Retail Mall,2.6,2.9,3.1
220,"LL Road Frame - Black, 52",Rewarding Activities Company,2.3,2.5,2.6
221,"LL Road Frame - Black, 52",Sundry Sporting Goods,2.0,2.0,1.9
222,"LL Road Frame - Black, 52",Tenth Bike Store,3.8,3.7,3.6
223,"LL Road Frame - Black, 52",Futuristic Sport Distributors,1.2,1.3,1.4
224,"LL Road Frame - Black, 52",Lease-a-Bike Shop,2.7,2.5,2.4
225,"LL Road Frame - Black, 52",Rally Day Mall,1.4,1.7,2.0
226,"LL Road Frame - Black, 52",Getaway Inn,2.7,2.5,2.3
227,"LL Road Frame - Black, 52",Metropolitan Equipment,3.5,3.8,4.0
228,"LL Road Frame - Black, 52",Racing Sales and Service,3.4,3.6,3.7
229,"LL Road Frame - Black, 52",Exhilarating Cycles,2.2,2.4,2.5
230,"LL Road Frame - Black, 52",Friendly Bike Shop,4.2,4.4,4.6
231,"LL Road Frame - Black, 52",Riders Company,2.6,2.3,2.2
232,"LL Road Frame - Black, 52",First Bike Store,4.0,3.9,3.9
233,"LL Road Frame - Black, 52",Outdoor Equipment Store,5.1,4.7,4.4
234,"LL Road Frame - Black, 52",Retail Sales and Service,2.7,2.5,2.4
235,"LL Road Frame - Black, 52",Seventh Bike Store,1.7,1.6,1.5
236,"LL Road Frame - Black, 52",Bike Dealers Association,1.9,1.9,1.8
237,"LL Road Frame - Black, 52",Larger Cycle Shop,3.1,3.2,3.2
238,"LL Road Frame - Black, 52",New and Used Bicycles,1.2,1.3,1.4
239,"LL Road Frame - Black, 52",Excellent Riding Supplies,4.1,3.6,3.3
240,"LL Road Frame - Black, 52",Advanced Bike Components,1.6,2.0,2.1
241,"LL Road Frame - Black, 52",Fitness Toy Store,3.8,3.7,3.6
242,"LL Road Frame - Black, 52",Modular Cycle Systems,3.3,3.6,3.7
243,"LL Road Frame - Black, 52",Sheet Metal Manufacturing,3.0,2.9,2.9
244,"LL Road Frame - Black, 52",Totes & Baskets Company,2.1,2.2,2.3
245,"LL Road Frame - Black, 52",Prosperous Tours,2.9,2.9,2.8
246,"LL Road Frame - Black, 52",Mail-Order Outlet,2.1,2.2,2.3
247,"LL Road Frame - Black, 52",Thorough Parts and Repair Services,5.4,5.0,4.8
248,"LL Road Frame - Black, 52",Good Bike Shop,3.9,3.4,3.2
249,"HL Road Frame - Black, 44",Eastside Department Store,3.8,3.6,3.5
250,"HL Road Frame - Black, 44",Number 1 Supply,1.4,1.7,1.9
251,"HL Road Frame - Black, 44",Retail Mall,1.9,2.3,2.6
252,"HL Road Frame - Black, 44",Lease-a-Bike Shop,1.1,1.2,1.3
253,"HL Road Frame - Black, 44",Getaway Inn,1.2,1.3,1.4
254,"HL Road Frame - Black, 44",Metropolitan Equipment,2.3,2.6,2.7
255,"HL Road Frame - Black, 44",Exhilarating Cycles,2.9,2.8,2.8
256,"HL Road Frame - Black, 44",Outdoor Equipment Store,5.7,5.0,4.6
257,"HL Road Frame - Red, 44",Eastside Department Store,2.1,2.1,2.2
258,"HL Road Frame - Red, 44",Finer Riding Supplies,1.7,1.5,1.4
259,"HL Road Frame - Red, 44","Health Spa, Limited",3.1,3.2,3.2
260,"HL Road Frame - Red, 44",Retail Mall,2.1,2.1,2.1
261,"HL Road Frame - Red, 44",Lease-a-Bike Shop,2.4,2.1,1.8
262,"HL Road Frame - Red, 44",Metropolitan Equipment,2.7,3.1,3.2
263,"HL Road Frame - Red, 44",Outdoor Equipment Store,4.1,4.1,4.1
264,"HL Road Frame - Red, 44",Bike Boutique,3.8,3.6,3.4
265,"HL Road Frame - Red, 44",Every Bike Shop,2.9,2.7,2.6
266,"HL Road Frame - Red, 44",Fitness Toy Store,2.0,2.0,2.0
267,"HL Road Frame - Red, 62",Citywide Service and Repair,1.0,1.1,1.1
268,"HL Road Frame - Red, 62","Health Spa, Limited",4.6,4.2,4.0
269,"HL Road Frame - Red, 62",Retail Mall,2.1,2.1,2.2
270,"HL Road Frame - Red, 62",Metropolitan Equipment,1.4,1.6,1.8
271,"HL Road Frame - Red, 62",Outdoor Equipment Store,3.9,3.9,3.9
272,"HL Road Frame - Red, 62",Larger Cycle Shop,2.0,2.1,2.1
273,"HL Road Frame - Red, 62",Bike Boutique,2.0,2.0,2.1
274,"HL Road Frame - Red, 62",Fitness Toy Store,1.3,1.6,1.8
275,HL Road Handlebars,Eastside Department Store,1.3,1.6,1.8
276,HL Road Handlebars,Corner Bicycle Supply,2.4,2.6,2.7
277,HL Road Handlebars,General Supplies,2.8,2.7,2.5
278,HL Road Handlebars,"Health Spa, Limited",3.9,3.8,3.7
279,HL Road Handlebars,Rally Day Mall,1.1,1.2,1.2
280,HL Road Handlebars,Getaway Inn,2.1,2.2,2.2
281,HL Road Handlebars,Riders Company,1.1,1.2,1.2
282,HL Road Handlebars,Outdoor Equipment Store,3.1,3.7,4.0
283,HL Road Handlebars,Larger Cycle Shop,1.2,1.4,1.5
284,HL Road Handlebars,Bike Boutique,1.1,1.2,1.2
285,HL Road Handlebars,Every Bike Shop,2.1,2.2,2.3
286,HL Road Handlebars,Excellent Riding Supplies,1.6,2.1,2.4
287,HL Road Handlebars,Fitness Toy Store,2.6,2.4,2.3
288,HL Road Handlebars,Prosperous Tours,2.1,2.2,2.2
289,HL Road Handlebars,Mail-Order Outlet,3.0,3.0,3.0
290,"Half-Finger Gloves, S",Real Sporting Goods,4.9,4.8,4.7
291,"Half-Finger Gloves, S",Eastside Department Store,3.8,4.7,5.1
292,"Half-Finger Gloves, S",Bikes and Motorbikes,6.4,6.0,5.8
293,"Half-Finger Gloves, S",Citywide Service and Repair,5.5,5.0,4.7
294,"Half-Finger Gloves, S",Rapid Bikes,7.1,6.0,5.5
295,"Half-Finger Gloves, S",Rewarding Activities Company,3.7,3.5,3.4
296,"Half-Finger Gloves, S",Top Sports Supply,4.7,4.4,4.3
297,"Half-Finger Gloves, S",Vigorous Exercise Company,4.3,4.4,4.5
298,"Half-Finger Gloves, S",Futuristic Sport Distributors,4.1,4.1,4.1
299,"Half-Finger Gloves, S",Rally Day Mall,4.8,4.7,4.6
300,"Half-Finger Gloves, S",Metropolitan Equipment,6.5,6.1,5.8
301,"Half-Finger Gloves, S",Registered Cycle Store,3.9,3.8,3.8
302,"Half-Finger Gloves, S",Steel Inc.,3.4,3.6,3.8
303,"Half-Finger Gloves, S",Wheelsets Storehouse,3.1,3.1,3.1
304,"Half-Finger Gloves, S",Exhilarating Cycles,4.1,4.1,4.1
305,"Half-Finger Gloves, S",Bike Dealers Association,5.7,5.5,5.4
306,"Half-Finger Gloves, S",Fashionable Department Stores,4.4,4.7,4.9
307,"Half-Finger Gloves, S",Larger Cycle Shop,3.4,3.7,3.8
308,"Half-Finger Gloves, S",Advanced Bike Components,2.6,2.9,3.0
309,"Half-Finger Gloves, S",Prosperous Tours,6.3,5.8,5.5
310,"Half-Finger Gloves, S",Sales and Supply Company,6.4,5.5,5.1
311,"LL Road Frame - Black, 58",Eastside Department Store,5.0,4.5,4.1
312,"LL Road Frame - Black, 58",Preferred Bikes,1.8,2.2,2.3
313,"LL Road Frame - Black, 58",Bikes and Motorbikes,3.9,3.8,3.7
314,"LL Road Frame - Black, 58",Corner Bicycle Supply,2.8,2.6,2.5
315,"LL Road Frame - Black, 58",Custom Accessories Company,1.7,2.2,2.5
316,"LL Road Frame - Black, 58",Finer Riding Supplies,2.6,2.3,2.1
317,"LL Road Frame - Black, 58","Health Spa, Limited",3.9,3.9,3.8
318,"LL Road Frame - Black, 58",Retail Mall,1.9,2.5,2.9
319,"LL Road Frame - Black, 58",Rewarding Activities Company,3.0,3.0,3.0
320,"LL Road Frame - Black, 58",Lease-a-Bike Shop,1.7,1.6,1.5
321,"LL Road Frame - Black, 58",Rally Day Mall,3.1,3.3,3.4
322,"LL Road Frame - Black, 58",Getaway Inn,1.9,1.9,1.8
323,"LL Road Frame - Black, 58",Metropolitan Equipment,3.9,3.8,3.8
324,"LL Road Frame - Black, 58",Racing Sales and Service,3.7,3.5,3.3
325,"LL Road Frame - Black, 58",Exhilarating Cycles,1.1,1.2,1.3
326,"LL Road Frame - Black, 58",Outdoor Equipment Store,3.8,3.2,3.0
327,"LL Road Frame - Black, 58",Bike Dealers Association,1.9,1.9,1.8
328,"LL Road Frame - Black, 58",Larger Cycle Shop,1.3,1.5,1.7
329,"LL Road Frame - Black, 58",Bike Boutique,1.6,2.0,2.2
330,"LL Road Frame - Black, 58",Excellent Riding Supplies,2.1,2.3,2.3
331,"LL Road Frame - Black, 58",Advanced Bike Components,1.8,1.7,1.6
332,"LL Road Frame - Black, 58",Fitness Toy Store,4.4,4.1,3.8
333,"LL Road Frame - Black, 58",Prosperous Tours,1.8,1.6,1.6
334,"LL Road Frame - Red, 48",Preferred Bikes,2.1,2.1,2.2
335,"LL Road Frame - Red, 48","Health Spa, Limited",6.0,5.2,4.7
336,"LL Road Frame - Red, 48",Retail Mall,2.6,3.0,3.2
337,"LL Road Frame - Red, 48",Lease-a-Bike Shop,5.8,5.5,5.4
338,"LL Road Frame - Red, 48",Bike Dealers Association,1.7,1.6,1.5
339,"LL Road Frame - Red, 48",Larger Cycle Shop,1.9,1.8,1.7
340,"LL Road Frame - Red, 48",Fitness Toy Store,2.7,2.6,2.4
341,"ML Road Frame-W - Yellow, 48",Eastside Department Store,3.4,3.2,3.0
342,"ML Road Frame-W - Yellow, 48",Number 1 Supply,2.2,2.3,2.3
343,"ML Road Frame-W - Yellow, 48",Bikes and Motorbikes,3.6,4.1,4.4
344,"ML Road Frame-W - Yellow, 48",Citywide Service and Repair,1.3,1.5,1.6
345,"ML Road Frame-W - Yellow, 48",Corner Bicycle Supply,3.0,3.0,3.0
346,"ML Road Frame-W - Yellow, 48","Health Spa, Limited",3.3,3.0,2.8
347,"ML Road Frame-W - Yellow, 48",Primary Bike Distributors,1.1,1.2,1.2
348,"ML Road Frame-W - Yellow, 48",Retail Mall,4.0,4.0,4.1
349,"ML Road Frame-W - Yellow, 48",Rewarding Activities Company,1.2,1.3,1.4
350,"ML Road Frame-W - Yellow, 48",Lease-a-Bike Shop,2.9,2.8,2.8
351,"ML Road Frame-W - Yellow, 48",Rally Day Mall,2.7,2.5,2.4
352,"ML Road Frame-W - Yellow, 48",Metropolitan Equipment,3.9,3.8,3.7
353,"ML Road Frame-W - Yellow, 48",Racing Sales and Service,4.7,4.5,4.4
